name	link	description
Hajime	https://www.youtube.com/@HajimeRecords	YouTube channel: Hajime
LVBELC5	https://www.youtube.com/channel/UC4KXKrDVE-WlIcBO0w0LQtg	YouTube channel: LVBELC5
Online Alarm Kur	https://www.youtube.com/@OnlineAlarmKurTV	YouTube channel: Online Alarm Kur
Wolfsickness	https://www.youtube.com/@Wolfsickness	YouTube channel: Wolfsickness
Medcezir Dizi	https://www.youtube.com/@Medcezirtvdizisi	YouTube channel: Medcezir Dizi
Holy Ten	https://www.youtube.com/@holyten	YouTube channel: Holy Ten
Rehber Matematik	https://www.youtube.com/@RehberMatematik	YouTube channel: Rehber Matematik
Deniz Hoca	https://www.youtube.com/@DenizHoca	YouTube channel: Deniz Hoca
Cartoonito Türkiye	https://www.youtube.com/@CartoonitoTurkiye	YouTube channel: Cartoonito Türkiye
Pepee	https://www.youtube.com/@pepeedunyasi	YouTube channel: Pepee
10 Numara	https://www.youtube.com/@10Numararesmi	YouTube channel: 10 Numara
Fizikfinito	https://www.youtube.com/@Fizikfinito	YouTube channel: Fizikfinito
mania japansong	https://www.youtube.com/@maniajapansong	YouTube channel: mania japansong
E10 Records Label	https://www.youtube.com/@E10RecordsLabel	YouTube channel: E10 Records Label
Sedat Tekin Tarih and Bilgi Sarmal Maarif Akademi	http://www.youtube.com/@SedatTekinTarih	YouTube channel: Sedat Tekin Tarih and Bilgi Sarmal Maarif Akademi
StormX Neon	https://www.youtube.com/@StormXNeon	YouTube channel: StormX Neon
Topper Guild	https://www.youtube.com/@topperguild	YouTube channel: Topper Guild
Alarm Timer	https://www.youtube.com/@AlarmTimer	YouTube channel: Alarm Timer
Soothing Relaxation	https://www.youtube.com/@SoothingRelaxation	YouTube channel: Soothing Relaxation
MrBeast 2	https://www.youtube.com/@MrBeast2	YouTube channel: MrBeast 2
Kurate Music	https://www.youtube.com/@kuratemusic	YouTube channel: Kurate Music
The Handyman	https://www.youtube.com/@TheHandyman81	YouTube channel: The Handyman
Maizen	https://www.youtube.com/@maizenofficial	YouTube channel: Maizen
